Scheduling code,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+2hr),Form Controls,Form Option to Display
Pri Mock Exam<>P5 2026<>P5 Sci<>Chen Hong<>Monday<>King Albert Park<>KAP-5<>24.0<>07 Sep<>8:15AM<>,Pri Mock Exam,P5 2026,P5 Sci,Chen Hong,Monday,King Albert Park,KAP-5,24.0,07 Sep (Mon),,P5 Science Mock Exam,Simulation 07 Sep (Mon) 8:15AM - 10:00AM · Walkthrough 10 Sep (Thu) 10:00AM - 12:00PM,9/7/2026,8:15AM - 10:00AM,Open - Running,"[P5 Sci by Chen Hong] - King Albert Park, Exam Simulation: 7 Sep(Mon) 8.15AM - 10AM, Review: 10 Sep(Thu) 10AM - 12PM"
Pri Mock Walkthrough<>P5 2026<>P5 Sci<>Chen Hong<>Thursday<>King Albert Park<>KAP-5<>-<>10 Sep<>10:00AM<>,Pri Mock Walkthrough,P5 2026,P5 Sci,Chen Hong,Thursday,King Albert Park,KAP-5,-,10 Sep (Thu),,P5 Science Mock Exam,Simulation 07 Sep (Mon) 8:15AM - 10:00AM · Walkthrough 10 Sep (Thu) 10:00AM - 12:00PM,9/10/2026,10:00AM - 12:00PM,Open - Running,"[P5 Sci by Chen Hong] - King Albert Park, Exam Simulation: 7 Sep(Mon) 8.15AM - 10AM, Review: 10 Sep(Thu) 10AM - 12PM"
Pri Mock Exam<>P6 2026<>P6 Eng<>Jolene<>Friday<>Bishan<>BS-2<>24.0<>04 Sep<>12:00PM<>,Pri Mock Exam,P6 2026,P6 Eng,Jolene,Friday,Bishan,BS-2,24.0,04 Sep (Fri),,P6 English Mock Exam,Simulation 04 Sep (Fri) 12:00PM - 3:30PM · Walkthrough 08 Sep (Tue) 12:30PM - 2:30PM,9/4/2026,12:00PM - 3:30PM,Open - Running,"[P6 Eng by Jolene] - Bishan, Exam Simulation: 4 Sep(Fri) 12PM - 3.30PM, Review: 8 Sep(Tue) 12.30PM - 2.30PM"
Pri Mock Walkthrough<>P6 2026<>P6 Eng<>Jolene<>Tuesday<>Bishan<>BS-1<>-<>08 Sep<>12:30PM<>,Pri Mock Walkthrough,P6 2026,P6 Eng,Jolene,Tuesday,Bishan,BS-1,-,08 Sep (Tue),,P6 English Mock Exam,Simulation 04 Sep (Fri) 12:00PM - 3:30PM · Walkthrough 08 Sep (Tue) 12:30PM - 2:30PM,9/8/2026,12:30PM - 2:30PM,Open - Running,"[P6 Eng by Jolene] - Bishan, Exam Simulation: 4 Sep(Fri) 12PM - 3.30PM, Review: 8 Sep(Tue) 12.30PM - 2.30PM"
Pri Mock Exam<>P6 2026<>P6 Eng<>Kayley<>Monday<>King Albert Park<>KAP-5<>24.0<>07 Sep<>12:00PM<>,Pri Mock Exam,P6 2026,P6 Eng,Kayley,Monday,King Albert Park,KAP-5,24.0,07 Sep (Mon),,P6 English Mock Exam,Simulation 07 Sep (Mon) 12:00PM - 3:30PM · Walkthrough 09 Sep (Wed) 12:30PM - 2:30PM,9/7/2026,12:00PM - 3:30PM,Open - Running,"[P6 Eng by Kayley] - King Albert Park, Exam Simulation: 7 Sep(Mon) 12PM - 3.30PM, Review: 9 Sep(Wed) 12.30PM - 2.30PM"
Pri Mock Walkthrough<>P6 2026<>P6 Eng<>Kayley<>Wednesday<>King Albert Park<>KAP-5<>-<>09 Sep<>12:30PM<>,Pri Mock Walkthrough,P6 2026,P6 Eng,Kayley,Wednesday,King Albert Park,KAP-5,-,09 Sep (Wed),,P6 English Mock Exam,Simulation 07 Sep (Mon) 12:00PM - 3:30PM · Walkthrough 09 Sep (Wed) 12:30PM - 2:30PM,9/9/2026,12:30PM - 2:30PM,Open - Running,"[P6 Eng by Kayley] - King Albert Park, Exam Simulation: 7 Sep(Mon) 12PM - 3.30PM, Review: 9 Sep(Wed) 12.30PM - 2.30PM"
Pri Mock Exam<>P6 2026<>P6 Math<>Abi<>Monday<>Bishan<>BS-2<>29.0<>07 Sep<>12:00PM<>,Pri Mock Exam,P6 2026,P6 Math,Abi,Monday,Bishan,BS-2,29.0,07 Sep (Mon),,P6 Math Mock Exam,Simulation 07 Sep (Mon) 12:00PM - 2:50PM · Walkthrough 09 Sep (Wed) 12:30PM - 2:30PM,9/7/2026,12:00PM - 2:50PM,Open - Running,"[P6 Math by Abi] - Bishan, Exam Simulation: 7 Sep(Mon) 12PM - 2.50PM, Review: 9 Sep(Wed) 12.30PM - 2.30PM"
Pri Mock Walkthrough<>P6 2026<>P6 Math<>Abi<>Wednesday<>Bishan<>BS-2<>-<>09 Sep<>12:30PM<>,Pri Mock Walkthrough,P6 2026,P6 Math,Abi,Wednesday,Bishan,BS-2,-,09 Sep (Wed),,P6 Math Mock Exam,Simulation 07 Sep (Mon) 12:00PM - 2:50PM · Walkthrough 09 Sep (Wed) 12:30PM - 2:30PM,9/9/2026,12:30PM - 2:30PM,Open - Running,"[P6 Math by Abi] - Bishan, Exam Simulation: 7 Sep(Mon) 12PM - 2.50PM, Review: 9 Sep(Wed) 12.30PM - 2.30PM"
Pri Mock Exam<>P6 2026<>P6 Math<>Mahadir<>Friday<>King Albert Park<>KAP-5<>24.0<>04 Sep<>8:15AM<>,Pri Mock Exam,P6 2026,P6 Math,Mahadir,Friday,King Albert Park,KAP-5,24.0,04 Sep (Fri),,P6 Math Mock Exam,Simulation 04 Sep (Fri) 8:15AM - 11:20AM · Walkthrough 10 Sep (Thu) 12:30PM - 2:30PM,9/4/2026,8:15AM - 11:20AM,Open - Running,"[P6 Math by Mahadir] - King Albert Park, Exam Simulation: 4 Sep(Fri) 8.15AM - 11.20AM, Review: 10 Sep(Thu) 12.30PM - 2.30PM"
Pri Mock Walkthrough<>P6 2026<>P6 Math<>Mahadir<>Thursday<>King Albert Park<>KAP-5<>-<>10 Sep<>12:30PM<>,Pri Mock Walkthrough,P6 2026,P6 Math,Mahadir,Thursday,King Albert Park,KAP-5,-,10 Sep (Thu),,P6 Math Mock Exam,Simulation 04 Sep (Fri) 8:15AM - 11:20AM · Walkthrough 10 Sep (Thu) 12:30PM - 2:30PM,9/10/2026,12:30PM - 2:30PM,Open - Running,"[P6 Math by Mahadir] - King Albert Park, Exam Simulation: 4 Sep(Fri) 8.15AM - 11.20AM, Review: 10 Sep(Thu) 12.30PM - 2.30PM"
Pri Mock Exam<>P6 2026<>P6 Sci<>Kat<>Friday<>Bishan<>BS-2<>29.0<>04 Sep<>8:15AM<>,Pri Mock Exam,P6 2026,P6 Sci,Kat,Friday,Bishan,BS-2,29.0,04 Sep (Fri),,P6 Science Mock Exam,Simulation 04 Sep (Fri) 8:15AM - 10:00AM · Walkthrough 10 Sep (Thu) 10:00AM - 12:00PM,9/4/2026,8:15AM - 10:00AM,Open - Running,"[P6 Sci by Kat] - Bishan, Exam Simulation: 4 Sep(Fri) 8.15AM - 10AM, Review: 10 Sep(Thu) 10AM - 12PM"
Pri Mock Walkthrough<>P6 2026<>P6 Sci<>Kat<>Thursday<>Bishan<>BS-2<>-<>10 Sep<>10:00AM<>,Pri Mock Walkthrough,P6 2026,P6 Sci,Kat,Thursday,Bishan,BS-2,-,10 Sep (Thu),,P6 Science Mock Exam,Simulation 04 Sep (Fri) 8:15AM - 10:00AM · Walkthrough 10 Sep (Thu) 10:00AM - 12:00PM,9/10/2026,10:00AM - 12:00PM,Open - Running,"[P6 Sci by Kat] - Bishan, Exam Simulation: 4 Sep(Fri) 8.15AM - 10AM, Review: 10 Sep(Thu) 10AM - 12PM"
Pri Mock Exam<>P6 2026<>P6 Sci<>Chen Hong<>Friday<>King Albert Park<>KAP-5<>15.0<>04 Sep<>1:00PM<>,Pri Mock Exam,P6 2026,P6 Sci,Chen Hong,Friday,King Albert Park,KAP-5,15.0,04 Sep (Fri),,P6 Science Mock Exam,Simulation 04 Sep (Fri) 1:00PM - 2:45PM · Walkthrough 08 Sep (Tue) 12:30PM - 2:30PM,9/4/2026,1:00PM - 2:45PM,Open - Running,"[P6 Sci by Chen Hong] - King Albert Park, Exam Simulation: 4 Sep(Fri) 1PM - 2.45PM, Review: 8 Sep(Tue) 12.30PM - 2.30PM"
Pri Mock Walkthrough<>P6 2026<>P6 Sci<>Chen Hong<>Tuesday<>King Albert Park<>KAP-3<>-<>08 Sep<>12:30PM<>,Pri Mock Walkthrough,P6 2026,P6 Sci,Chen Hong,Tuesday,King Albert Park,KAP-3,-,08 Sep (Tue),,P6 Science Mock Exam,Simulation 04 Sep (Fri) 1:00PM - 2:45PM · Walkthrough 08 Sep (Tue) 12:30PM - 2:30PM,9/8/2026,12:30PM - 2:30PM,Open - Running,"[P6 Sci by Chen Hong] - King Albert Park, Exam Simulation: 4 Sep(Fri) 1PM - 2.45PM, Review: 8 Sep(Tue) 12.30PM - 2.30PM"
