Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classroom,Capacity,Date (text),Start Time,Date,Timeslot (+3hr),Video Guides,Address,Subject1,Subject2,Subject(Display),Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,,,Duplicate class,Remarks,No. Regular S,No. Signups,,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display,max?
Sep CC - JC<>JC - Bio<>J1<>Gene Expression<>Phoebe<>Potong Pasir<>PP-2 (L1)<>21<>09 Sep (Tue)<>10:00 am,Sep CC - JC,JC - Bio,J1,Gene Expression,Phoebe,Potong Pasir,PP-2 (L1),21,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,BIO,BIO,Biology,J1,,Biology,J1 Biology - Potong Pasir - 09 Sep (Tue) 10:00AM,[J1 Biology] Gene Expression - 09 Sep (Tue) | 10:00AM - 01:00PM | Potong Pasir,,,0,,,20,,20,0,20 | 0 | 21,0.00%,0,0,,Default,[J1 Biology] Gene Expression - 09 Sep (Tue) | 10:00AM - 01:00PM | Potong Pasir,FALSE
Sep CC - JC<>JC - Bio<>J1<>Gene Expression<>Derek<>Tampines<>TP-2 (main)<>22<>10 Sep (Wed)<>1:30 pm,Sep CC - JC,JC - Bio,J1,Gene Expression,Derek,Tampines,TP-2 (main),22,10 Sep (Wed),1:30:00 PM,9/10/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,BIO,BIO,Biology,J1,,Biology,J1 Biology - Tampines - 10 Sep (Wed) 1:30PM,[J1 Biology] Gene Expression - 10 Sep (Wed) | 01:30PM - 04:30PM | Tampines,,,0,,,9,,9,0,9 | 0 | 22,0.00%,0,0,,Default,[J1 Biology] Gene Expression - 10 Sep (Wed) | 01:30PM - 04:30PM | Tampines,FALSE
Sep CC - JC<>JC - Phy<>J1<>Gravitational Field<>Enzhao<>Bukit Panjang<>BP-1 (JC)<>24<>07 Sep (Sun)<>7:00 pm,Sep CC - JC,JC - Phy,J1,Gravitational Field,Enzhao,Bukit Panjang,BP-1 (JC),24,07 Sep (Sun),7:00:00 PM,9/7/2025,07:00PM - 10:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Bukit Panjang - 07 Sep (Sun) 7:00PM,[J1 Physics] Gravitational Field - 07 Sep (Sun) | 07:00PM - 10:00PM | Bukit Panjang,,,0,,,14,,14,0,14 | 0 | 24,0.00%,0,0,,Default,[J1 Physics] Gravitational Field - 07 Sep (Sun) | 07:00PM - 10:00PM | Bukit Panjang,FALSE
Sep CC - JC<>JC - Phy<>J1<>Gravitational Field<>Aznikah<>Potong Pasir<>PP-2 (L1)<>21<>12 Sep (Fri)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Gravitational Field,Aznikah,Potong Pasir,PP-2 (L1),21,12 Sep (Fri),1:30:00 PM,9/12/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Potong Pasir - 12 Sep (Fri) 1:30PM,[J1 Physics] Gravitational Field - 12 Sep (Fri) | 01:30PM - 04:30PM | Potong Pasir,,,0,,,12,,12,0,12 | 0 | 21,0.00%,0,0,,Default,[J1 Physics] Gravitational Field - 12 Sep (Fri) | 01:30PM - 04:30PM | Potong Pasir,FALSE
Sep CC - JC<>JC - Phy<>J1<>Gravitational Field<>Han Wei<>Tampines<>TP-5 (LT) (ext)<>50<>11 Sep (Thu)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Gravitational Field,Han Wei,Tampines,TP-5 (LT) (ext),50,11 Sep (Thu),1:30:00 PM,9/11/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Tampines - 11 Sep (Thu) 1:30PM,[J1 Physics] Gravitational Field - 11 Sep (Thu) | 01:30PM - 04:30PM | Tampines,,,0,,,7,,7,0,7 | 0 | 50,0.00%,0,0,,Default,[J1 Physics] Gravitational Field - 11 Sep (Thu) | 01:30PM - 04:30PM | Tampines,FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ding Jiang<>Buona Vista<>BV-1 (L3)<>30<>09 Sep (Tue)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ding Jiang,Buona Vista,BV-1 (L3),30,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Buona Vista - 09 Sep (Tue) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Buona Vista",,,0,,,28,,28,0,28 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Buona Vista",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Kelly<>Kovan<>KO-1<>23<>09 Sep (Tue)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Kelly,Kovan,KO-1,23,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 09 Sep (Tue) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Kovan",,,0,,,16,,16,0,16 | 0 | 23,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Kovan",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Kelly<>Kovan<>KO-1<>23<>10 Sep (Wed)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Kelly,Kovan,KO-1,23,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 10 Sep (Wed) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 10 Sep (Wed) | 10:00AM - 01:00PM | Kovan",,,0,,,4,,4,0,4 | 0 | 23,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 10 Sep (Wed) | 10:00AM - 01:00PM | Kovan",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Kelly<>Kovan<>KO-1<>23<>12 Sep (Fri)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Kelly,Kovan,KO-1,23,12 Sep (Fri),1:30:00 PM,9/12/2025,01:30PM - 04:30PM,https://tinyurl.com/SOKGuide,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 12 Sep (Fri) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:30PM - 04:30PM | Kovan",,,0,,,6,,6,0,6 | 0 | 23,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:30PM - 04:30PM | Kovan",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Tan Jia Yi<>Marymount<>MM-3<>18<>12 Sep (Fri)<>1:00 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Tan Jia Yi,Marymount,MM-3,18,12 Sep (Fri),1:00:00 PM,9/12/2025,01:00PM - 04:00PM,bit.ly/zenithMM,183 Upper Thomson Road B1-05 (Longhaus) S574429,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Marymount - 12 Sep (Fri) 1:00PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:00PM - 04:00PM | Marymount",,,0,,,9,,9,0,9 | 0 | 18,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:00PM - 04:00PM | Marymount",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ryan Liu<>Paya Lebar<>KINEX-2<>30<>09 Sep (Tue)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ryan Liu,Paya Lebar,KINEX-2,30,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Paya Lebar - 09 Sep (Tue) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Paya Lebar",,,0,,,6,,6,0,6 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Paya Lebar",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ryan Liu<>Paya Lebar<>KINEX-2<>30<>10 Sep (Wed)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ryan Liu,Paya Lebar,KINEX-2,30,10 Sep (Wed),1:30:00 PM,9/10/2025,01:30PM - 04:30PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Paya Lebar - 10 Sep (Wed) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 10 Sep (Wed) | 01:30PM - 04:30PM | Paya Lebar",,,0,,,9,,9,0,9 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 10 Sep (Wed) | 01:30PM - 04:30PM | Paya Lebar",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ryan Liu<>Paya Lebar<>KINEX-2<>30<>11 Sep (Thu)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ryan Liu,Paya Lebar,KINEX-2,30,11 Sep (Thu),1:30:00 PM,9/11/2025,01:30PM - 04:30PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Paya Lebar - 11 Sep (Thu) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 11 Sep (Thu) | 01:30PM - 04:30PM | Paya Lebar",,,0,,,21,,21,0,21 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 11 Sep (Thu) | 01:30PM - 04:30PM | Paya Lebar",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ryan Kong<>Potong Pasir<>PP-4 (L2)<>36<>12 Sep (Fri)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ryan Kong,Potong Pasir,PP-4 (L2),36,12 Sep (Fri),1:30:00 PM,9/12/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Potong Pasir - 12 Sep (Fri) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:30PM - 04:30PM | Potong Pasir",,,0,,,11,,11,0,11 | 0 | 36,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:30PM - 04:30PM | Potong Pasir",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Zoey<>Tampines<>TP-1 (main)<>28<>08 Sep (Mon)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Zoey,Tampines,TP-1 (main),28,08 Sep (Mon),1:30:00 PM,9/8/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tampines - 08 Sep (Mon) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 08 Sep (Mon) | 01:30PM - 04:30PM | Tampines",,,0,,,24,,24,0,24 | 0 | 28,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 08 Sep (Mon) | 01:30PM - 04:30PM | Tampines",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>09 Sep (Tue)<>3:00 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Xavier Tan,Tan Kah Kee,TKK-2,30,09 Sep (Tue),3:00:00 PM,9/9/2025,03:00PM - 06:00PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tan Kah Kee - 09 Sep (Tue) 3:00PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 03:00PM - 06:00PM | Tan Kah Kee",,,0,,,24,,24,0,24 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 03:00PM - 06:00PM | Tan Kah Kee",FALSE
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>E Ler<>Jurong East<>JE-1<>30<>10 Sep (Wed)<>10:00 am,Sep CC - JC,JC - Chem,J1,Reaction Kinetics,E Ler,Jurong East,JE-1,30,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Jurong East - 10 Sep (Wed) 10:00AM,[J1 Chemistry] Reaction Kinetics - 10 Sep (Wed) | 10:00AM - 01:00PM | Jurong East,,,0,,,1,,1,0,1 | 0 | 30,0.00%,0,0,,Default,[J1 Chemistry] Reaction Kinetics - 10 Sep (Wed) | 10:00AM - 01:00PM | Jurong East,FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>E Ler<>Jurong East<>JE-1<>30<>08 Sep (Mon)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",E Ler,Jurong East,JE-1,30,08 Sep (Mon),10:00:00 AM,9/8/2025,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Jurong East - 08 Sep (Mon) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 08 Sep (Mon) | 10:00AM - 01:00PM | Jurong East",,,0,,,14,,14,0,14 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 08 Sep (Mon) | 10:00AM - 01:00PM | Jurong East",FALSE
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>E Ler<>Jurong East<>JE-1<>30<>09 Sep (Tue)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",E Ler,Jurong East,JE-1,30,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Jurong East - 09 Sep (Tue) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Jurong East",,,0,,,3,,3,0,3 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Jurong East",FALSE
Sep CC - JC<>JC - Bio<>J1<>Control of Eukaryotic Gene Expression<>Josh<>Jurong East<>JE-2<>25<>11 Sep (Thu)<>10:00 am,Sep CC - JC,JC - Bio,J1,Control of Eukaryotic Gene Expression,Josh,Jurong East,JE-2,25,11 Sep (Thu),10:00:00 AM,9/11/2025,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,BIO,BIO,Biology,J1,,Biology,J1 Biology - Jurong East - 11 Sep (Thu) 10:00AM,[J1 Biology] Control of Eukaryotic Gene Expression - 11 Sep (Thu) | 10:00AM - 01:00PM | Jurong East,,,0,,,6,,6,0,6 | 0 | 25,0.00%,0,0,,Default,[J1 Biology] Control of Eukaryotic Gene Expression - 11 Sep (Thu) | 10:00AM - 01:00PM | Jurong East,FALSE
