Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classroom,Capacity,Date (text),Start Time,Date,Timeslot (+3hr),Video Guides,Address,Subject1,Subject2,Subject(Display),Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,,,Duplicate class,Remarks,No. Regular S,No. Signups,,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display
"Sep CC - JC<>JC - Chem<>J1<>Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only)<>Zoey<>Tampines<>TP-1 (main)<>28<>10 Sep (Wed)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only)",Zoey,Tampines,TP-1 (main),28,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tampines - 10 Sep (Wed) 10:00AM,"[J1 Chemistry] Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only) - 10 Sep (Wed) | 10:00AM - 01:00PM | Tampines",,,0,,,0,,0,0,0 | 0 | 28,0.00%,0,0,,Default,"[J1 Chemistry] Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only) - 10 Sep (Wed) | 10:00AM - 01:00PM | Tampines"
Sep CC - JC<>JC - Phy<>J1<>Gravitational Field<>Enzhao<>Bukit Panjang<>BP-1 (JC)<>24<>07 Sep (Sun)<>7:00 pm,Sep CC - JC,JC - Phy,J1,Gravitational Field,Enzhao,Bukit Panjang,BP-1 (JC),24,07 Sep (Sun),7:00:00 PM,9/7/2025,07:00PM - 10:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Bukit Panjang - 07 Sep (Sun) 7:00PM,[J1 Physics] Gravitational Field - 07 Sep (Sun) | 07:00PM - 10:00PM | Bukit Panjang,,,0,,,0,,0,0,0 | 0 | 24,0.00%,0,0,,Default,[J1 Physics] Gravitational Field - 07 Sep (Sun) | 07:00PM - 10:00PM | Bukit Panjang
Sep CC - JC<>JC - Phy<>J1<>Gravitational Field<>Aznikah<>Potong Pasir<>PP-2 (L1)<>21<>12 Sep (Fri)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Gravitational Field,Aznikah,Potong Pasir,PP-2 (L1),21,12 Sep (Fri),1:30:00 PM,9/12/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Potong Pasir - 12 Sep (Fri) 1:30PM,[J1 Physics] Gravitational Field - 12 Sep (Fri) | 01:30PM - 04:30PM | Potong Pasir,,,0,,,0,,0,0,0 | 0 | 21,0.00%,0,0,,Default,[J1 Physics] Gravitational Field - 12 Sep (Fri) | 01:30PM - 04:30PM | Potong Pasir
Sep CC - JC<>JC - Phy<>J1<>Gravitational Field<>Han Wei<>Tampines<>TP-5 (LT) (ext)<>50<>11 Sep (Thu)<>1:30 pm,Sep CC - JC,JC - Phy,J1,Gravitational Field,Han Wei,Tampines,TP-5 (LT) (ext),50,11 Sep (Thu),1:30:00 PM,9/11/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,PHYS,PHYS,Physics,J1,,Physics,J1 Physics - Tampines - 11 Sep (Thu) 1:30PM,[J1 Physics] Gravitational Field - 11 Sep (Thu) | 01:30PM - 04:30PM | Tampines,,,0,,,0,,0,0,0 | 0 | 50,0.00%,0,0,,Default,[J1 Physics] Gravitational Field - 11 Sep (Thu) | 01:30PM - 04:30PM | Tampines
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ding Jiang<>Buona Vista<>BV-1 (L3)<>30<>09 Sep (Tue)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ding Jiang,Buona Vista,BV-1 (L3),30,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Buona Vista - 09 Sep (Tue) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Buona Vista",,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Buona Vista"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Kelly<>Kovan<>KO-1<>29<>09 Sep (Tue)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Kelly,Kovan,KO-1,29,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 09 Sep (Tue) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Kovan",,,0,,,0,,0,0,0 | 0 | 29,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Kovan"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Kelly<>Kovan<>KO-1<>29<>10 Sep (Wed)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Kelly,Kovan,KO-1,29,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 10 Sep (Wed) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 10 Sep (Wed) | 10:00AM - 01:00PM | Kovan",,,0,,,0,,0,0,0 | 0 | 29,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 10 Sep (Wed) | 10:00AM - 01:00PM | Kovan"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Kelly<>Kovan<>KO-1<>29<>12 Sep (Fri)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Kelly,Kovan,KO-1,29,12 Sep (Fri),1:30:00 PM,9/12/2025,01:30PM - 04:30PM,,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Kovan - 12 Sep (Fri) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:30PM - 04:30PM | Kovan",,,0,,,0,,0,0,0 | 0 | 29,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:30PM - 04:30PM | Kovan"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Tan Jia Yi<>Marymount<>MM-3<>18<>12 Sep (Fri)<>1:00 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Tan Jia Yi,Marymount,MM-3,18,12 Sep (Fri),1:00:00 PM,9/12/2025,01:00PM - 04:00PM,bit.ly/zenithMM,183 Upper Thomson Road B1-05 (Longhaus) S574429,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Marymount - 12 Sep (Fri) 1:00PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:00PM - 04:00PM | Marymount",,,0,,,0,,0,0,0 | 0 | 18,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:00PM - 04:00PM | Marymount"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ryan Liu<>Paya Lebar<>KINEX-2<>30<>09 Sep (Tue)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ryan Liu,Paya Lebar,KINEX-2,30,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Paya Lebar - 09 Sep (Tue) 10:00AM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Paya Lebar",,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 10:00AM - 01:00PM | Paya Lebar"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ryan Liu<>Paya Lebar<>KINEX-2<>30<>10 Sep (Wed)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ryan Liu,Paya Lebar,KINEX-2,30,10 Sep (Wed),1:30:00 PM,9/10/2025,01:30PM - 04:30PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Paya Lebar - 10 Sep (Wed) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 10 Sep (Wed) | 01:30PM - 04:30PM | Paya Lebar",,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 10 Sep (Wed) | 01:30PM - 04:30PM | Paya Lebar"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ryan Liu<>Paya Lebar<>KINEX-2<>30<>11 Sep (Thu)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ryan Liu,Paya Lebar,KINEX-2,30,11 Sep (Thu),1:30:00 PM,9/11/2025,01:30PM - 04:30PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Paya Lebar - 11 Sep (Thu) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 11 Sep (Thu) | 01:30PM - 04:30PM | Paya Lebar",,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 11 Sep (Thu) | 01:30PM - 04:30PM | Paya Lebar"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Ryan Kong<>Potong Pasir<>PP-4 (L2)<>36<>12 Sep (Fri)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Ryan Kong,Potong Pasir,PP-4 (L2),36,12 Sep (Fri),1:30:00 PM,9/12/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Potong Pasir - 12 Sep (Fri) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:30PM - 04:30PM | Potong Pasir",,,0,,,0,,0,0,0 | 0 | 36,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 12 Sep (Fri) | 01:30PM - 04:30PM | Potong Pasir"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Zoey<>Tampines<>TP-1 (main)<>28<>08 Sep (Mon)<>1:30 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Zoey,Tampines,TP-1 (main),28,08 Sep (Mon),1:30:00 PM,9/8/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tampines - 08 Sep (Mon) 1:30PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 08 Sep (Mon) | 01:30PM - 04:30PM | Tampines",,,0,,,0,,0,0,0 | 0 | 28,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 08 Sep (Mon) | 01:30PM - 04:30PM | Tampines"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>Xavier Tan<>Tan Kah Kee<>TKK-2<>30<>09 Sep (Tue)<>3:00 pm",Sep CC - JC,JC - Chem,J1,"Organic Chemistry (Isomerism, Alkanes)",Xavier Tan,Tan Kah Kee,TKK-2,30,09 Sep (Tue),3:00:00 PM,9/9/2025,03:00PM - 06:00PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tan Kah Kee - 09 Sep (Tue) 3:00PM,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 03:00PM - 06:00PM | Tan Kah Kee",,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,"[J1 Chemistry] Organic Chemistry (Isomerism, Alkanes) - 09 Sep (Tue) | 03:00PM - 06:00PM | Tan Kah Kee"
Sep CC - JC<>JC - Chem<>J1<>Reaction Kinetics<>E Ler<>Jurong East<>JE-1<>30<>10 Sep (Wed)<>10:00 am,Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Joey Kang,Bukit Panjang,BP-2 (JC/SS),12,26 Aug (Tue),5:00:00 PM,8/26/2025,05:00PM - 08:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,GP,GP,GP,J1,,GP,J1 GP - Bukit Panjang - 26 Aug (Tue) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Bukit Panjang",,,1,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Bukit Panjang"
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Joey Kang<>Bukit Panjang<>BP-2 (JC/SS)<>12<>26 Aug (Tue)<>5:00:00 PM",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Joey Kang,Bukit Panjang,BP-2 (JC/SS),12,26 Aug (Tue),5:00:00 PM,8/26/2025,05:00PM - 08:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,GP,GP,GP,J1,,GP,J1 GP - Bukit Panjang - 26 Aug (Tue) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Bukit Panjang",,,1,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 26 Aug (Tue) | 05:00PM - 08:00PM | Bukit Panjang"
"Sep CC - JC<>JC - Chem<>J1<>Organic Chemistry (Isomerism, Alkanes)<>E Ler<>Jurong East<>JE-1<>30<>08 Sep (Mon)<>10:00 am",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Zach,Buona Vista,BV-LT,70,25 Aug (Mon),5:00:00 PM,8/25/2025,05:00PM - 08:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,GP,GP,GP,J1,,GP,J1 GP - Buona Vista - 25 Aug (Mon) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Buona Vista",,,1,,,0,,0,0,0 | 0 | 70,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Buona Vista"
"Sep CC - JC<>JC - GP<>J1<>Paper 2 SAQ, Summary and NIT Practice<>Zach<>Buona Vista<>BV-LT<>70<>25 Aug (Mon)<>5:00:00 PM",Sep CC - JC,JC - GP,J1,"Paper 2 SAQ, Summary and NIT Practice",Zach,Buona Vista,BV-LT,70,25 Aug (Mon),5:00:00 PM,8/25/2025,05:00PM - 08:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,GP,GP,GP,J1,,GP,J1 GP - Buona Vista - 25 Aug (Mon) 5:00PM,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Buona Vista",,,1,,,0,,0,0,0 | 0 | 70,0.00%,0,0,,Default,"[J1 GP] Paper 2 SAQ, Summary and NIT Practice - 25 Aug (Mon) | 05:00PM - 08:00PM | Buona Vista"
