Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classroom,Capacity,Date (text),Start Time,Date,Timeslot (+3hr),Video Guides,Address,Subject1,Subject2,Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,[Waitlist] Form Entry,,Duplicate class,Remarks,No. Regular S,No. Signups,No. Waitlist Signups,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity | Waitlist,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Melvin<>Bukit Panjang<>BP-1 (JC)<>24<>29 May (Thu)<>5:00 PM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Melvin,Bukit Panjang,BP-1 (JC),24,29 May (Thu),5:00:00 PM,5/29/2025,05:00PM - 08:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,BIO,BIO,J1,CC Type,Biology,Biology - Bukit Panjang - 29 May (Thu) 5PM,[JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang,[Waitlist] [JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang,,0,,,0,0,0,0,0 | 0 | 24 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Josh<>Jurong East (CPF Building)<>JE-1<>30<>13 Jun (Fri)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Josh,Jurong East (CPF Building),JE-1,30,13 Jun (Fri),10:00:00 AM,6/13/2025,10:00AM - 01:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,BIO,BIO,J1,CC Type,Biology,Biology - Jurong East (CPF Building) - 13 Jun (Fri) 10AM,[JC1 Biology] DNA Structure & Replication - 13 Jun (Fri) | 10:00AM - 01:00PM | Jurong East (CPF Building),[Waitlist] [JC1 Biology] DNA Structure & Replication - 13 Jun (Fri) | 10:00AM - 01:00PM | Jurong East (CPF Building),,0,,,4,0,4,3,4 | 3 | 30 | 0,10.00%,3,0,,Default,[JC1 Biology] DNA Structure & Replication - 13 Jun (Fri) | 10:00AM - 01:00PM | Jurong East (CPF Building)
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Derek<>Marymount<>MM-2<>27<>18 Jun (Wed)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Derek,Marymount,MM-2,27,18 Jun (Wed),10:00:00 AM,6/18/2025,10:00AM - 01:00PM,bit.ly/zenithMM,183 Upper Thomson Road  #B1-05 (Longhaus) S574429,BIO,BIO,J1,CC Type,Biology,Biology - Marymount - 18 Jun (Wed) 10AM,[JC1 Biology] DNA Structure & Replication - 18 Jun (Wed) | 10:00AM - 01:00PM | Marymount,[Waitlist] [JC1 Biology] DNA Structure & Replication - 18 Jun (Wed) | 10:00AM - 01:00PM | Marymount,,0,,,2,0,2,0,2 | 0 | 27 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 18 Jun (Wed) | 10:00AM - 01:00PM | Marymount
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Derek<>Tampines<>TP-1<>28<>19 Jun (Thu)<>1:30 PM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Derek,Tampines,TP-1,28,19 Jun (Thu),1:30:00 PM,6/19/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,BIO,BIO,J1,CC Type,Biology,Biology - Tampines - 19 Jun (Thu) 1PM,[JC1 Biology] DNA Structure & Replication - 19 Jun (Thu) | 01:30PM - 04:30PM | Tampines,[Waitlist] [JC1 Biology] DNA Structure & Replication - 19 Jun (Thu) | 01:30PM - 04:30PM | Tampines,,0,,,5,0,5,4,5 | 4 | 28 | 0,14.29%,4,0,,Default,[JC1 Biology] DNA Structure & Replication - 19 Jun (Thu) | 01:30PM - 04:30PM | Tampines
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Josh<>Buona Vista<>BV-2 (L3)<>22<>20 Jun (Fri)<>1:30 PM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Josh,Buona Vista,BV-2 (L3),22,20 Jun (Fri),1:30:00 PM,6/20/2025,01:30PM - 04:30PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,BIO,BIO,J1,CC Type,Biology,Biology - Buona Vista - 20 Jun (Fri) 1PM,[JC1 Biology] DNA Structure & Replication - 20 Jun (Fri) | 01:30PM - 04:30PM | Buona Vista,[Waitlist] [JC1 Biology] DNA Structure & Replication - 20 Jun (Fri) | 01:30PM - 04:30PM | Buona Vista,,0,,,1,0,1,1,1 | 1 | 22 | 0,4.55%,1,0,,Default,[JC1 Biology] DNA Structure & Replication - 20 Jun (Fri) | 01:30PM - 04:30PM | Buona Vista
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Phoebe<>Tan Kah Kee<>CORO-1<>30<>28 May (Wed)<>5:00 PM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Phoebe,Tan Kah Kee,CORO-1,30,28 May (Wed),5:00:00 PM,5/28/2025,05:00PM - 08:00PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",BIO,BIO,J1,CC Type,Biology,Biology - Tan Kah Kee - 28 May (Wed) 5PM,[JC1 Biology] Eukaryotic Gene Expression - 28 May (Wed) | 05:00PM - 08:00PM | Tan Kah Kee,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 28 May (Wed) | 05:00PM - 08:00PM | Tan Kah Kee,,0,,,0,0,0,0,0 | 0 | 30 | 0,0.00%,0,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 28 May (Wed) | 05:00PM - 08:00PM | Tan Kah Kee
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Melvin<>Bukit Panjang<>BP-1 (JC)<>24<>2 Jun (Mon)<>1:30 PM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Melvin,Bukit Panjang,BP-1 (JC),24,2 Jun (Mon),1:30:00 PM,6/2/2025,01:30PM - 04:30PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,BIO,BIO,J1,CC Type,Biology,Biology - Bukit Panjang - 2 Jun (Mon) 1PM,[JC1 Biology] Eukaryotic Gene Expression - 2 Jun (Mon) | 01:30PM - 04:30PM | Bukit Panjang,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 2 Jun (Mon) | 01:30PM - 04:30PM | Bukit Panjang,,0,,,1,0,1,1,1 | 1 | 24 | 0,4.17%,1,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 2 Jun (Mon) | 01:30PM - 04:30PM | Bukit Panjang
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Phoebe<>Tan Kah Kee<>CORO-1<>30<>3 Jun (Tue)<>1:30 PM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Phoebe,Tan Kah Kee,CORO-1,30,3 Jun (Tue),1:30:00 PM,6/3/2025,01:30PM - 04:30PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",BIO,BIO,J1,CC Type,Biology,Biology - Tan Kah Kee - 3 Jun (Tue) 1PM,[JC1 Biology] Eukaryotic Gene Expression - 3 Jun (Tue) | 01:30PM - 04:30PM | Tan Kah Kee,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 3 Jun (Tue) | 01:30PM - 04:30PM | Tan Kah Kee,,0,,,0,0,0,0,0 | 0 | 30 | 0,0.00%,0,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 3 Jun (Tue) | 01:30PM - 04:30PM | Tan Kah Kee
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Melvin<>Marymount<>MM-2<>27<>5 Jun (Thu)<>1:30 PM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Melvin,Marymount,MM-2,27,5 Jun (Thu),1:30:00 PM,6/5/2025,01:30PM - 04:30PM,bit.ly/zenithMM,183 Upper Thomson Road  #B1-05 (Longhaus) S574429,BIO,BIO,J1,CC Type,Biology,Biology - Marymount - 5 Jun (Thu) 1PM,[JC1 Biology] Eukaryotic Gene Expression - 5 Jun (Thu) | 01:30PM - 04:30PM | Marymount,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 5 Jun (Thu) | 01:30PM - 04:30PM | Marymount,,0,,,0,0,0,0,0 | 0 | 27 | 0,0.00%,0,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 5 Jun (Thu) | 01:30PM - 04:30PM | Marymount
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Josh<>Buona Vista<>BV-2 (L3)<>22<>6 Jun (Fri)<>10:00 AM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Josh,Buona Vista,BV-2 (L3),22,6 Jun (Fri),10:00:00 AM,6/6/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,BIO,BIO,J1,CC Type,Biology,Biology - Buona Vista - 6 Jun (Fri) 10AM,[JC1 Biology] Eukaryotic Gene Expression - 6 Jun (Fri) | 10:00AM - 01:00PM | Buona Vista,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 6 Jun (Fri) | 10:00AM - 01:00PM | Buona Vista,,0,,,2,0,2,2,2 | 2 | 22 | 0,9.09%,2,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 6 Jun (Fri) | 10:00AM - 01:00PM | Buona Vista
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Phoebe<>Potong Pasir<>PP-4 (L2)<>36<>9 Jun (Mon)<>1:30 PM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Phoebe,Potong Pasir,PP-4 (L2),36,9 Jun (Mon),1:30:00 PM,6/9/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,BIO,BIO,J1,CC Type,Biology,Biology - Potong Pasir - 9 Jun (Mon) 1PM,[JC1 Biology] Eukaryotic Gene Expression - 9 Jun (Mon) | 01:30PM - 04:30PM | Potong Pasir,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 9 Jun (Mon) | 01:30PM - 04:30PM | Potong Pasir,,0,,,2,0,2,1,2 | 1 | 36 | 0,2.78%,1,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 9 Jun (Mon) | 01:30PM - 04:30PM | Potong Pasir
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Derek<>Marymount<>MM-1<>28<>11 Jun (Wed)<>10:00 AM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Derek,Marymount,MM-1,28,11 Jun (Wed),10:00:00 AM,6/11/2025,10:00AM - 01:00PM,bit.ly/zenithMM,183 Upper Thomson Road  #B1-05 (Longhaus) S574429,BIO,BIO,J1,CC Type,Biology,Biology - Marymount - 11 Jun (Wed) 10AM,[JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 10:00AM - 01:00PM | Marymount,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 10:00AM - 01:00PM | Marymount,,0,,,0,0,0,0,0 | 0 | 28 | 0,0.00%,0,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 10:00AM - 01:00PM | Marymount
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Melvin<>Tan Kah Kee<>CORO-1<>30<>11 Jun (Wed)<>10:00 AM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Melvin,Tan Kah Kee,CORO-1,30,11 Jun (Wed),10:00:00 AM,6/11/2025,10:00AM - 01:00PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",BIO,BIO,J1,CC Type,Biology,Biology - Tan Kah Kee - 11 Jun (Wed) 10AM,[JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee,,0,,,2,0,2,1,2 | 1 | 30 | 0,3.33%,1,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Josh<>Paya Lebar<>KINEX-1<>24<>11 Jun (Wed)<>1:30 PM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Josh,Paya Lebar,KINEX-1,24,11 Jun (Wed),1:30:00 PM,6/11/2025,01:30PM - 04:30PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,BIO,BIO,J1,CC Type,Biology,Biology - Paya Lebar - 11 Jun (Wed) 1PM,[JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 01:30PM - 04:30PM | Paya Lebar,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 01:30PM - 04:30PM | Paya Lebar,,0,,,2,0,2,1,2 | 1 | 24 | 0,4.17%,1,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 11 Jun (Wed) | 01:30PM - 04:30PM | Paya Lebar
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Derek<>Tampines<>TP-1<>28<>12 Jun (Thu)<>10:00 AM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Derek,Tampines,TP-1,28,12 Jun (Thu),10:00:00 AM,6/12/2025,10:00AM - 01:00PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,BIO,BIO,J1,CC Type,Biology,Biology - Tampines - 12 Jun (Thu) 10AM,[JC1 Biology] Eukaryotic Gene Expression - 12 Jun (Thu) | 10:00AM - 01:00PM | Tampines,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 12 Jun (Thu) | 10:00AM - 01:00PM | Tampines,,0,,,3,0,3,2,3 | 2 | 28 | 0,7.14%,2,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 12 Jun (Thu) | 10:00AM - 01:00PM | Tampines
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Melvin<>Marymount<>MM-1<>28<>16 Jun (Mon)<>10:00 AM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Melvin,Marymount,MM-1,28,16 Jun (Mon),10:00:00 AM,6/16/2025,10:00AM - 01:00PM,bit.ly/zenithMM,183 Upper Thomson Road  #B1-05 (Longhaus) S574429,BIO,BIO,J1,CC Type,Biology,Biology - Marymount - 16 Jun (Mon) 10AM,[JC1 Biology] Eukaryotic Gene Expression - 16 Jun (Mon) | 10:00AM - 01:00PM | Marymount,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 16 Jun (Mon) | 10:00AM - 01:00PM | Marymount,,0,,,0,0,0,0,0 | 0 | 28 | 0,0.00%,0,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 16 Jun (Mon) | 10:00AM - 01:00PM | Marymount
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Josh<>Jurong East (CPF Building)<>JE-2<>25<>16 Jun (Mon)<>1:30 PM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Josh,Jurong East (CPF Building),JE-2,25,16 Jun (Mon),1:30:00 PM,6/16/2025,01:30PM - 04:30PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,BIO,BIO,J1,CC Type,Biology,Biology - Jurong East (CPF Building) - 16 Jun (Mon) 1PM,[JC1 Biology] Eukaryotic Gene Expression - 16 Jun (Mon) | 01:30PM - 04:30PM | Jurong East (CPF Building),[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 16 Jun (Mon) | 01:30PM - 04:30PM | Jurong East (CPF Building),,0,,,1,0,1,1,1 | 1 | 25 | 0,4.00%,1,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 16 Jun (Mon) | 01:30PM - 04:30PM | Jurong East (CPF Building)
JC - JunCC<>Biology<>JC1<>Eukaryotic Gene Expression<>Phoebe<>Buona Vista<>BV-1 (L3)<>30<>17 Jun (Tue)<>10:00 AM,JC - JunCC,Biology,JC1,Eukaryotic Gene Expression,Phoebe,Buona Vista,BV-1 (L3),30,17 Jun (Tue),10:00:00 AM,6/17/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,BIO,BIO,J1,CC Type,Biology,Biology - Buona Vista - 17 Jun (Tue) 10AM,[JC1 Biology] Eukaryotic Gene Expression - 17 Jun (Tue) | 10:00AM - 01:00PM | Buona Vista,[Waitlist] [JC1 Biology] Eukaryotic Gene Expression - 17 Jun (Tue) | 10:00AM - 01:00PM | Buona Vista,,0,,,1,0,1,1,1 | 1 | 30 | 0,3.33%,1,0,,Default,[JC1 Biology] Eukaryotic Gene Expression - 17 Jun (Tue) | 10:00AM - 01:00PM | Buona Vista
