Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classeroom,Capacity,Date (text),Start Time,Date,Timeslot (+2hr),Video Guides,Address,Subject1,Subject2,Subject(Display),Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,,,Duplicate class,Remarks,No. Regular S,No. Signups,,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display
Sep CC - Sec<>Sec - Eng<>S1<>Personal Recount<>Matthew<>Marine Parade<>MP-5 (Pri)<>9<>06 Sep (Sat)<>11:15:00AM,Sep CC - Sec,Sec - Eng,S1,Personal Recount,Matthew,Marine Parade,MP-5 (Pri),9,06 Sep (Sat),11:15:00 AM,9/6/2025,11:15AM - 01:15PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S1,Hybrid,S1 English,S1 English - Marine Parade - 06 Sep (Sat) 11:15AM,[S1 English] Marine Parade | 06 Sep (Sat) | 11:15AM - 01:15PM,,,0,,,0,,0,0,0 | 0 | 9,0.00%,0,0,,Default,[S1 English] Marine Parade | 06 Sep (Sat) | 11:15AM - 01:15PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Jacelyn<>Jurong East<>JE-1<>30<>11 Sep (Thu)<>10:00 am",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Jacelyn,Jurong East,JE-1,30,11 Sep (Thu),10:00:00 AM,9/11/2025,10:00AM - 12:00PM,https://tinyurl.com/4cnf5kwu,21 Jurong Gateway Rd #02-01 (CPF Jurong Building) S608546,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Jurong East - 11 Sep (Thu) 10:00AM,[S1 Math] Jurong East | 11 Sep (Thu) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,[S1 Math] Jurong East | 11 Sep (Thu) | 10:00AM - 12:00PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>William Ho<>Kovan<>KO-1<>29<>06 Sep (Sat)<>10:00 am",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",William Ho,Kovan,KO-1,29,06 Sep (Sat),10:00:00 AM,9/6/2025,10:00AM - 12:00PM,,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Kovan - 06 Sep (Sat) 10:00AM,[S1 Math] Kovan | 06 Sep (Sat) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 29,0.00%,0,0,,Default,[S1 Math] Kovan | 06 Sep (Sat) | 10:00AM - 12:00PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Ivy<>Potong Pasir<>PP-5<>12<>08 Sep (Mon)<>1:00 pm",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Ivy,Potong Pasir,PP-5,12,08 Sep (Mon),1:00:00 PM,9/8/2025,01:00PM - 03:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Potong Pasir - 08 Sep (Mon) 1:00PM,[S1 Math] Potong Pasir | 08 Sep (Mon) | 01:00PM - 03:00PM,,,0,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,[S1 Math] Potong Pasir | 08 Sep (Mon) | 01:00PM - 03:00PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Chen Fang<>Potong Pasir<>PP-1 (L1)<>18<>09 Sep (Tue)<>1:00 pm",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Chen Fang,Potong Pasir,PP-1 (L1),18,09 Sep (Tue),1:00:00 PM,9/9/2025,01:00PM - 03:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Potong Pasir - 09 Sep (Tue) 1:00PM,[S1 Math] Potong Pasir | 09 Sep (Tue) | 01:00PM - 03:00PM,,,0,,,0,,0,0,0 | 0 | 18,0.00%,0,0,,Default,[S1 Math] Potong Pasir | 09 Sep (Tue) | 01:00PM - 03:00PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Ivy<>Potong Pasir<>PP-5<>12<>10 Sep (Wed)<>10:00 am",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Ivy,Potong Pasir,PP-5,12,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 12:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Potong Pasir - 10 Sep (Wed) 10:00AM,[S1 Math] Potong Pasir | 10 Sep (Wed) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,[S1 Math] Potong Pasir | 10 Sep (Wed) | 10:00AM - 12:00PM
"Sep CC - Sec<>Sec - LS Science<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>William Ho<>Kovan<>KO-1<>29<>06 Sep (Sat)<>11:00 am",Sep CC - Sec,Sec - LS Science,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",William Ho,Kovan,KO-1,29,06 Sep (Sat),11:00:00 AM,9/6/2025,11:00AM - 01:00PM,,988 Upper Serangoon Rd #01-16 (Stars of Kovan) S534733,LSScience,LSScience,Science,S1,CC,S1 Science,S1 Science - Kovan - 06 Sep (Sat) 11:00AM,[S1 Science] Kovan | 06 Sep (Sat) | 11:00AM - 01:00PM,,,0,,,0,,0,0,0 | 0 | 29,0.00%,0,0,,Default,[S1 Science] Kovan | 06 Sep (Sat) | 11:00AM - 01:00PM
Sep CC - Sec<>Sec (IP) - Eng<>S1<>Summary Writing <>John<>Bishan<>BS-2 (Pri)<>15<>09 Sep (Tue)<>10:00 am,Sep CC - Sec,Sec (IP) - Eng,S1,Summary Writing ,John,Bishan,BS-2 (Pri),15,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 12:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,LSEng(IP),SEng,IP English,S1,CC,S1 English (IP),S1 IP English - Bishan - 09 Sep (Tue) 10:00AM,[S1 IP English] Bishan | 09 Sep (Tue) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 15,0.00%,0,0,,Default,[S1 IP English] Bishan | 09 Sep (Tue) | 10:00AM - 12:00PM
Sep CC - Sec<>Sec (IP) - Eng<>S1<>Summary Writing <>Antonia<>Tan Kah Kee<>TKK-1<>14<>14 Sep (Sun)<>2:00 pm,Sep CC - Sec,Sec (IP) - Eng,S1,Summary Writing ,Antonia,Tan Kah Kee,TKK-1,14,14 Sep (Sun),2:00:00 PM,9/14/2025,02:00PM - 04:00PM,bit.ly/TKK607,607 Bukit Timah Road #02-01 S269708,LSEng(IP),SEng,IP English,S1,Hybrid,S1 English (IP),S1 IP English - Tan Kah Kee - 14 Sep (Sun) 2:00PM,[S1 IP English] Tan Kah Kee | 14 Sep (Sun) | 02:00PM - 04:00PM,,,0,,,0,,0,0,0 | 0 | 14,0.00%,0,0,,Default,[S1 IP English] Tan Kah Kee | 14 Sep (Sun) | 02:00PM - 04:00PM
Sep CC - Sec<>Sec (IP) - Math<>S1<>Linear graphs<>Cameron<>Tan Kah Kee<>CORO-3<>15<>09 Sep (Tue)<>10:00 am,Sep CC - Sec,Sec (IP) - Math,S1,Linear graphs,Cameron,Tan Kah Kee,CORO-3,15,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 12:00PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",LSMath(IP),SMath,IP Math,S1,CC,S1 Math (IP),S1 IP Math - Tan Kah Kee - 09 Sep (Tue) 10:00AM,[S1 IP Math] Tan Kah Kee | 09 Sep (Tue) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 15,0.00%,0,0,,Default,[S1 IP Math] Tan Kah Kee | 09 Sep (Tue) | 10:00AM - 12:00PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>John<>Bishan<>BS-2 (Pri)<>15<>09 Sep (Tue)<>1:00 pm,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,John,Bishan,BS-2 (Pri),15,09 Sep (Tue),1:00:00 PM,9/9/2025,01:00PM - 03:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,LSEng,SEng,English,S2,CC,S2 English,S2 English - Bishan - 09 Sep (Tue) 1:00PM,[S2 English] Bishan | 09 Sep (Tue) | 01:00PM - 03:00PM,,,0,,,0,,0,0,0 | 0 | 15,0.00%,0,0,,Default,[S2 English] Bishan | 09 Sep (Tue) | 01:00PM - 03:00PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Matthew<>Marine Parade<>MP-5 (Pri)<>9<>06 Sep (Sat)<>2:00:00PM,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Matthew,Marine Parade,MP-5 (Pri),9,06 Sep (Sat),2:00:00 PM,9/6/2025,02:00PM - 04:00PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S2,Hybrid,S2 English,S2 English - Marine Parade - 06 Sep (Sat) 2:00PM,[S2 English] Marine Parade | 06 Sep (Sat) | 02:00PM - 04:00PM,,,0,,,0,,0,0,0 | 0 | 9,0.00%,0,0,,Default,[S2 English] Marine Parade | 06 Sep (Sat) | 02:00PM - 04:00PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Matthew<>Marine Parade<>MP-1 (Pri)<>12<>07 Sep (Sun)<>2:00:00PM,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Matthew,Marine Parade,MP-1 (Pri),12,07 Sep (Sun),2:00:00 PM,9/7/2025,02:00PM - 04:00PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S2,Hybrid,S2 English,S2 English - Marine Parade - 07 Sep (Sun) 2:00PM,[S2 English] Marine Parade | 07 Sep (Sun) | 02:00PM - 04:00PM,,,0,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,[S2 English] Marine Parade | 07 Sep (Sun) | 02:00PM - 04:00PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Matthew<>Marine Parade<>MP-5 (Pri)<>9<>11 Sep (Thu)<>5:00:00PM,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Matthew,Marine Parade,MP-5 (Pri),9,11 Sep (Thu),5:00:00 PM,9/11/2025,05:00PM - 07:00PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S2,Hybrid,S2 English,S2 English - Marine Parade - 11 Sep (Thu) 5:00PM,[S2 English] Marine Parade | 11 Sep (Thu) | 05:00PM - 07:00PM,,,0,,,0,,0,0,0 | 0 | 9,0.00%,0,0,,Default,[S2 English] Marine Parade | 11 Sep (Thu) | 05:00PM - 07:00PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Matthew<>Marine Parade<>MP-5 (Pri)<>9<>12 Sep (Fri)<>7:15:00PM,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Matthew,Marine Parade,MP-5 (Pri),9,12 Sep (Fri),7:15:00 PM,9/12/2025,07:15PM - 09:15PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S2,Hybrid,S2 English,S2 English - Marine Parade - 12 Sep (Fri) 7:15PM,[S2 English] Marine Parade | 12 Sep (Fri) | 07:15PM - 09:15PM,,,0,,,0,,0,0,0 | 0 | 9,0.00%,0,0,,Default,[S2 English] Marine Parade | 12 Sep (Fri) | 07:15PM - 09:15PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Matthew<>Marine Parade<>MP-5 (Pri)<>9<>13 Sep (Sat)<>2:00:00PM,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Matthew,Marine Parade,MP-5 (Pri),9,13 Sep (Sat),2:00:00 PM,9/13/2025,02:00PM - 04:00PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S2,Hybrid,S2 English,S2 English - Marine Parade - 13 Sep (Sat) 2:00PM,[S2 English] Marine Parade | 13 Sep (Sat) | 02:00PM - 04:00PM,,,0,,,0,,0,0,0 | 0 | 9,0.00%,0,0,,Default,[S2 English] Marine Parade | 13 Sep (Sat) | 02:00PM - 04:00PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Matthew<>Marine Parade<>MP-1 (Pri)<>12<>14 Sep (Sun)<>2:00:00PM,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Matthew,Marine Parade,MP-1 (Pri),12,14 Sep (Sun),2:00:00 PM,9/14/2025,02:00PM - 04:00PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S2,Hybrid,S2 English,S2 English - Marine Parade - 14 Sep (Sun) 2:00PM,[S2 English] Marine Parade | 14 Sep (Sun) | 02:00PM - 04:00PM,,,0,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,[S2 English] Marine Parade | 14 Sep (Sun) | 02:00PM - 04:00PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Natalie<>Potong Pasir<>PP-7<>16<>07 Sep (Sun)<>9:00 am,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Natalie,Potong Pasir,PP-7,16,07 Sep (Sun),9:00:00 AM,9/7/2025,09:00AM - 11:00AM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,LSEng,SEng,English,S2,CC,S2 English,S2 English - Potong Pasir - 07 Sep (Sun) 9:00AM,[S2 English] Potong Pasir | 07 Sep (Sun) | 09:00AM - 11:00AM,,,0,,,0,,0,0,0 | 0 | 16,0.00%,0,0,,Default,[S2 English] Potong Pasir | 07 Sep (Sun) | 09:00AM - 11:00AM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Natalie<>Potong Pasir<>PP-6<>12<>08 Sep (Mon)<>1:00 pm,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Natalie,Potong Pasir,PP-6,12,08 Sep (Mon),1:00:00 PM,9/8/2025,01:00PM - 03:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,LSEng,SEng,English,S2,CC,S2 English,S2 English - Potong Pasir - 08 Sep (Mon) 1:00PM,[S2 English] Potong Pasir | 08 Sep (Mon) | 01:00PM - 03:00PM,,,0,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,[S2 English] Potong Pasir | 08 Sep (Mon) | 01:00PM - 03:00PM
Sep CC - Sec<>Sec - Eng<>S2<>Discursive Essay<>Natalie<>Tampines<>TP-2 (main)<>22<>12 Sep (Fri)<>10:00 am,Sep CC - Sec,Sec - Eng,S2,Discursive Essay,Natalie,Tampines,TP-2 (main),22,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 12:00PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,LSEng,SEng,English,S2,CC,S2 English,S2 English - Tampines - 12 Sep (Fri) 10:00AM,[S2 English] Tampines | 12 Sep (Fri) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 22,0.00%,0,0,,Default,[S2 English] Tampines | 12 Sep (Fri) | 10:00AM - 12:00PM
"Sep CC - Sec<>Sec - LS Math<>S2<>Congruence and Similarity, Pythagoras Theorem and Trigonometry, Mensuration<>Ivy<>Bishan<>BS-3 (Pri)<>15<>11 Sep (Thu)<>1:00 pm",Sep CC - Sec,Sec - LS Math,S2,"Congruence and Similarity, Pythagoras Theorem and Trigonometry, Mensuration",Ivy,Bishan,BS-3 (Pri),15,11 Sep (Thu),1:00:00 PM,9/11/2025,01:00PM - 03:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,LSMath,SMath,Math,S2,CC,S2 Math,S2 Math - Bishan - 11 Sep (Thu) 1:00PM,[S2 Math] Bishan | 11 Sep (Thu) | 01:00PM - 03:00PM,,,0,,,0,,0,0,0 | 0 | 15,0.00%,0,0,,Default,[S2 Math] Bishan | 11 Sep (Thu) | 01:00PM - 03:00PM
"Sep CC - Sec<>Sec - LS Math<>S2<>Congruence and Similarity, Pythagoras Theorem and Trigonometry, Mensuration<>Ivy<>Bishan<>BS-1 (Pri)<>11<>12 Sep (Fri)<>10:00 am",Sep CC - Sec,Sec - LS Math,S2,"Congruence and Similarity, Pythagoras Theorem and Trigonometry, Mensuration",Ivy,Bishan,BS-1 (Pri),11,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 12:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,LSMath,SMath,Math,S2,CC,S2 Math,S2 Math - Bishan - 12 Sep (Fri) 10:00AM,[S2 Math] Bishan | 12 Sep (Fri) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 11,0.00%,0,0,,Default,[S2 Math] Bishan | 12 Sep (Fri) | 10:00AM - 12:00PM
